Origin;  Country of asylum  ;  Start  ;  Repartation  ;  End  ;;;;;;;
Afghanistan;Australia;5664;0;5518;;;;;;;
Afghanistan;Austria;6401;0;7359;;;;;;;
Afghanistan;Germany;30320;0;30404;;;;;;;
Afghanistan;India;8528;65;9094;;;;;;;
Afghanistan;Iran (Islamic Rep. of);1022494;8487;1027577;;;;;;;
Afghanistan;Netherlands;9383;0;6731;;;;;;;
Afghanistan;Norway;4415;0;5396;;;;;;;
Afghanistan;Pakistan;1739935;109383;1899842;;;;;;;
Afghanistan;United Kingdom;23658;0;23406;;;;;;;
Albania;United States;6720.6;0;6004.8;;;;;;;
Angola;Dem. Rep. of the Congo;84374;0;79617;;;;;;;
Angola;Namibia;5924;83;5904;;;;;;;
Angola;South Africa;5758;*;5808;;;;;;;
Angola;Zambia;25329;399;25265;;;;;;;
Armenia;United States;7569;0;6636.8;;;;;;;
Azerbaijan;Germany;6063;0;6326;;;;;;;
Bhutan;Nepal;88205;0;74536;;;;;;;
Bosnia and Herzegovina;Germany;24947;176;24622;;;;;;;
Bosnia and Herzegovina;Serbia (and Kosovo: UNSCR 1244);24154;0;21047;;;;;;;
Burundi;Dem. Rep. of the Congo;17585;3640;12845;;;;;;;
Burundi;United Rep. of Tanzania;53823;1012;47350;;;;;;;
Cambodia;France;13122;0;12956;;;;;;;
Cameroon;United States;7420;0;7299.6;;;;;;;
Central African Rep.;Cameroon;85824;18;89927;;;;;;;
Central African Rep.;Chad;71015;0;69428;;;;;;;
Chad;Cameroon;8342;34;8492;;;;;;;
Chad;Sudan;41140;0;39578;;;;;;;
China;Canada;16075;0;16451;;;;;;;
China;India;100003;0;100003;;;;;;;
China;United States;51480.2;0;54598.6;;;;;;;
Colombia;Canada;14300;0;16054;;;;;;;
Colombia;Costa Rica;10199;20;10214;;;;;;;
Colombia;Ecuador;115950;0;120403;;;;;;;
Colombia;Panama;15299;*;15432;;;;;;;
Colombia;United States;27002.8;0;25607.2;;;;;;;
Colombia;Venezuela (Boliv. Rep. of);201244;0;201467;;;;;;;
Congo;Gabon;7523;82;7665;;;;;;;
C“te d'Ivoire;Liberia;6414;0;24536;;;;;;;
Croatia;Bosnia and Herzegovina;6941;397;6836;;;;;;;
Croatia;Serbia (and Kosovo: UNSCR 1244);62145;65;52483;;;;;;;
Dem. Rep. of the Congo;Angola;13364;0;13648;;;;;;;
Dem. Rep. of the Congo;Burundi;24614;1101;28957;;;;;;;
Dem. Rep. of the Congo;Central African Rep.;20899;0;15300;;;;;;;
Dem. Rep. of the Congo;Congo;103213;*;124244;;;;;;;
Dem. Rep. of the Congo;France;10841;0;11369;;;;;;;
Dem. Rep. of the Congo;Germany;6093;0;5587;;;;;;;
Dem. Rep. of the Congo;Rwanda;53647;0;55027;;;;;;;
Dem. Rep. of the Congo;South Africa;11708;15;12973;;;;;;;
Dem. Rep. of the Congo;Sudan;19709;*;20980;;;;;;;
Dem. Rep. of the Congo;Uganda;73175;6177;81804;;;;;;;
Dem. Rep. of the Congo;United Rep. of Tanzania;63275;0;60186;;;;;;;
Dem. Rep. of the Congo;Zambia;21965;9265;12342;;;;;;;
Eritrea;Ethiopia;36164;0;44791;;;;;;;
Eritrea;Israel;11852;0;16997;;;;;;;
Eritrea;Italy;10377;0;10856;;;;;;;
Eritrea;Sudan;113528;0;103798;;;;;;;
Eritrea;Switzerland;3944;0;6859;;;;;;;
Eritrea;United Kingdom;8829;0;9430;;;;;;;
Ethiopia;Kenya;17103;0;21253;;;;;;;
Ethiopia;Sudan;9170;0;9101;;;;;;;
Ethiopia;United States;12237.8;0;11421.2;;;;;;;
Ghana;Togo;8073;0;13575;;;;;;;
Haiti;United States;18733.2;0;18487.2;;;;;;;
India;Canada;6245;0;5954;;;;;;;
India;United States;8954.6;0;7841.8;;;;;;;
Indonesia;Papua New Guinea;9689;0;9689;;;;;;;
Indonesia;United States;6558.4;0;5604.8;;;;;;;
Iran (Islamic Rep. of);Germany;20226;0;20444;;;;;;;
Iran (Islamic Rep. of);Iraq;12401;16;7989;;;;;;;
Iran (Islamic Rep. of);United Kingdom;10845;0;10837;;;;;;;
Iran (Islamic Rep. of);United States;5731.2;0;5173;;;;;;;
Iraq;Egypt;6572;243;6772;;;;;;;
Iraq;Germany;49033;0;50432;;;;;;;
Iraq;Iran (Islamic Rep. of);47924;1662;45708;;;;;;;
