Origin;  Country of asylum  ;  Start  ;  Repartation  ; End ;;;;;;;
Afghanistan;Australia;4.826;-;7.192;;;;;;;
Afghanistan;Austria;8.636;-;10.158;;;;;;;
Afghanistan;Germany;30.425;-;31.746;;;;;;;
Afghanistan;India;9.161;105;9.633;;;;;;;
Afghanistan;Islamic Rep. of Iran;840.451;15.035;824.087;;;;;;;
Afghanistan;Italy;4.291;-;5.058;;;;;;;
Afghanistan;Netherlands1;5.697;-;5.697;;;;;;;
Afghanistan;Norway;5.733;-;5.984;;;;;;;
Afghanistan;Pakistan;1.701.945;83.423;1.637.740;;;;;;;
Afghanistan;Sweden;6.620;-;8.454;;;;;;;
Afghanistan;United Kingdom;14.425;-;9.842;;;;;;;
Angola;South Africa;5.808;-;5.805;;;;;;;
Azerbaijan;Germany;6.368;-;6.575;;;;;;;
Bhutan;Nepal;57.381;-;40.971;;;;;;;
Bosnia and Herzegovina;Germany;24.016;65;23.460;;;;;;;
Bosnia and Herzegovina;Serbia and Kosovo;20.673;2;16.418;;;;;;;
Burundi;Dem. Rep. of the Congo;8.915;476;9.368;;;;;;;
Burundi;Uganda;6.687;-;10.728;;;;;;;
Burundi;United Rep. of Tanzania;67.549;35.200;35.343;;;;;;;
Cambodia;France;12.818;-;12.666;;;;;;;
Cameroon;United States;7.282;-;6.676;;;;;;;
Central African Rep.;Cameroon;90.176;347;92.094;;;;;;;
Central African Rep.;Chad;67.414;1.966;65.874;;;;;;;
Chad;Sudan;31.871;-;32.220;;;;;;;
China;Canada;17.024;-;16.755;;;;;;;
China;India;100.003;-;100.003;;;;;;;
China;United States;58.352;-;60.615;;;;;;;
Colombia;Canada;17.243;-;17.563;;;;;;;
Colombia;Costa Rica;10.297;4;10.305;;;;;;;
Colombia;Ecuador;122.587;6;122.964;;;;;;;
Colombia;Panama;15.598;-;15.723;;;;;;;
Colombia;United States;22.004;-;17.766;;;;;;;
Colombia;Venezuela (Bolivarian Republic of);202.387;-;203.563;;;;;;;
Cote d'Ivoire;Ghana;58;77;8.699;;;;;;;
Cote d'Ivoire;Guinea;6.380;12;6.552;;;;;;;
Cote d'Ivoire;Liberia;128.067;71.987;65.560;;;;;;;
Cote d'Ivoire;Togo;5.151;460;5.593;;;;;;;
Croatia;Bosnia and Herzegovina;6.769;77;6.733;;;;;;;
Croatia;Serbia and Kosovo;49.946;21;49.931;;;;;;;
Dem. Rep. of the Congo;Angola;13.648;-;20.740;;;;;;;
Dem. Rep. of the Congo;Burundi;35.213;260;41.349;;;;;;;
Dem. Rep. of the Congo;Central African Rep.;13.427;794;10.662;;;;;;;
Dem. Rep. of the Congo;Congo;131.648;46.385;89.424;;;;;;;
Dem. Rep. of the Congo;France;11.931;-;12.585;;;;;;;
Dem. Rep. of the Congo;Germany;5.146;-;5.206;;;;;;;
Dem. Rep. of the Congo;Kenya;5.155;7;6.244;;;;;;;
Dem. Rep. of the Congo;Rwanda;54.955;-;57.857;;;;;;;
Dem. Rep. of the Congo;South Africa;12.973;8;13.386;;;;;;;
Dem. Rep. of the Congo;South Sudan;22.186;-;18.296;;;;;;;
Dem. Rep. of the Congo;Uganda;81.487;21.912;127.021;;;;;;;
Dem. Rep. of the Congo;United Rep. of Tanzania;61.913;65;63.330;;;;;;;
Dem. Rep. of the Congo;Zambia;12.509;1;14.871;;;;;;;
Egypt;United States;4.972;-;6.297;;;;;;;
El Salvador;United States;4.706;-;6.037;;;;;;;
Eritrea;Ethiopia;54.896;-;63.771;;;;;;;
Eritrea;Israel;31.119;1;37.347;;;;;;;
Eritrea;Italy;11.206;-;11.345;;;;;;;
Eritrea;Norway;5.846;-;7.129;;;;;;;
Eritrea;Sudan;100.464;-;112.283;;;;;;;
Eritrea;Sweden;5.123;-;6.414;;;;;;;
Eritrea;Switzerland;9.592;-;10.981;;;;;;;
Eritrea;United Kingdom;9.856;-;9.901;;;;;;;
Ethiopia;Kenya;21.857;-;22.221;;;;;;;
Ethiopia;South Africa;3.398;-;5.538;;;;;;;
Ethiopia;South Sudan;4.967;-;5.891;;;;;;;
Ethiopia;United States;11.132;-;10.508;;;;;;;
Ethiopia;Yemen;4.686;16;5.221;;;;;;;
Ghana;Togo;13.676;-;17.371;;;;;;;
Guatemala;United States;4.940;-;5.174;;;;;;;
Haiti;Canada;4.963;-;6.798;;;;;;;
Haiti;United States;24.013;-;26.849;;;;;;;
India;Canada;5.621;-;5.287;;;;;;;
India;United States;6.657;-;5.041;;;;;;;
Indonesia;Papua New Guinea;9.368;35;9.368;;;;;;;
Iraq;Egypt;6.007;1.565;5.703;;;;;;;
Iraq;Germany;48.976;955;49.829;;;;;;;
Iraq;Islamic Rep. of Iran;45.937;6.855;44.085;;;;;;;
Iraq2;Jordan;450.000;2.820;63.037;;;;;;;
Iraq;Lebanon;8.504;595;6.516;;;;;;;
Iraq;Netherlands1;18.255;720;18.255;;;;;;;
Iraq;Norway;6.257;345;5.727;;;;;;;
Iraq;Sweden;27.367;2.545;24.741;;;;;;;
Iraq2;Syrian Arab Rep.;750.000;56.930;471.418;;;;;;;
Iraq;Turkey;7.071;215;9.478;;;;;;;
Iraq;United Kingdom;15.658;840;5.752;;;;;;;
Islamic Rep. of Iran;Germany;20.462;-;21.629;;;;;;;
Islamic Rep. of Iran;Iraq;8.229;3;8.259;;;;;;;
Islamic Rep. of Iran;United Kingdom;11.644;-;11.428;;;;;;;
Lao People's Dem. Rep.;France;7.382;-;7.335;;;;;;;
Lebanon;Germany;11.697;-;11.819;;;;;;;
Liberia;Ghana;11.295;4.710;5.156;;;;;;;
Mali;Burkina Faso;3;28;38.776;;;;;;;
Mali;Mauritania;1;-;54.029;;;;;;;
Mali;Niger;-;-;50.204;;;;;;;
Mauritania;Mali;12.442;-;12.436;;;;;;;
Mauritania;Senegal;19.917;6.208;13.702;;;;;;;
Mexico;Canada;5.574;-;5.995;;;;;;;
Myanmar;Bangladesh;229.644;-;230.674;;;;;;;
Myanmar;India;6.621;-;7.671;;;;;;;
Myanmar;Malaysia;81.146;-;84.671;;;;;;;
Myanmar;Thailand;88.148;-;83.317;;;;;;;
Nepal;United States;4.574;-;5.121;;;;;;;
Pakistan;Afghanistan;2.972;-;16.147;;;;;;;
Pakistan;Canada;13.149;-;11.605;;;;;;;
Pakistan;Germany;6.629;-;6.943;;;;;;;
Russian Federation;Austria;18.473;-;19.517;;;;;;;
Russian Federation;France;10.882;-;11.767;;;;;;;
Russian Federation;Germany;39.816;-;40.204;;;;;;;
Russian Federation;Poland;14.897;-;14.938;;;;;;;
Russian Federation;United States;6.863;-;6.714;;;;;;;
Rwanda;Congo;8.374;18;8.404;;;;;;;
Rwanda;Dem. Rep. of the Congo;61.481;10.780;50.736;;;;;;;
Rwanda;Uganda;12.998;375;14.684;;;;;;;
Rwanda;Zambia;5.559;14;5.963;;;;;;;
Senegal;Gambia;8.359;-;9.042;;;;;;;
Senegal;Guinea-Bissau;7.658;-;7.700;;;;;;;
Serbia and Kosovo;France;10.891;-;11.506;;;;;;;
Serbia and Kosovo;Germany;110.455;-;113.809;;;;;;;
Serbia and Kosovo;Montenegro;9.367;124;8.504;;;;;;;
Somalia;Djibouti;19.426;-;18.289;;;;;;;
Somalia;Egypt;6.232;-;6.250;;;;;;;
Somalia;Ethiopia;185.466;-;223.031;;;;;;;
Somalia;Italy;8.497;-;9.284;;;;;;;
Somalia;Kenya;517.666;4;512.069;;;;;;;
Somalia;Malta;4.009;-;5.041;;;;;;;
Somalia;Netherlands1;15.715;-;15.715;;;;;;;
Somalia;Norway;7.981;-;8.870;;;;;;;
Somalia;South Africa;15.186;-;17.864;;;;;;;
Somalia;Sweden;17.602;-;19.416;;;;;;;
Somalia;Uganda;14.023;-;19.000;;;;;;;
Somalia;United Kingdom;19.677;-;15.132;;;;;;;
