Origin;  Country of asylum  ;  Start  ;  Repartation  ;  End  ;;;;;;;
Afghanistan;Australia;7.192;-;8.368;;;;;;;
Afghanistan;Austria;10.158;-;11.906;;;;;;;
Afghanistan;Germany1;31.746;-;24.203;;;;;;;
Afghanistan;India;9.633;117;10.328;;;;;;;
Afghanistan;Islamic Rep. of Iran;824.087;8.247;814.015;;;;;;;
Afghanistan;Italy;5.058;-;6.695;;;;;;;
Afghanistan;Netherlands;6.126;-;6.269;;;;;;;
Afghanistan;Norway;5.984;-;5.523;;;;;;;
Afghanistan;Pakistan;1.637.740;31.224;1.615.876;;;;;;;
Afghanistan;Sweden;8.454;-;10.499;;;;;;;
Afghanistan;United Kingdom;9.845;-;9.166;;;;;;;
Bhutan;Nepal;40.971;-;30.977;;;;;;;
Bosnia and Herzegovina;Serbia (and Kosovo: S/RES/1244 (1999));16.418;-;15.296;;;;;;;
Burundi;Dem. Rep. of the Congo;9.368;1.498;9.762;;;;;;;
Burundi;Uganda;10.728;*;10.587;;;;;;;
Burundi;United Rep. of Tanzania;35.343;505;35.183;;;;;;;
Cambodia;France;12.666;-;12.560;;;;;;;
Cameroon;United States;6.676;-;5.714;;;;;;;
Central African Rep.;Cameroon;92.094;-;103.892;;;;;;;
Central African Rep.;Chad;65.874;-;80.545;;;;;;;
Central African Rep.;Congo;116;-;10.084;;;;;;;
Central African Rep.;Dem. Rep. of the Congo;1.691;-;53.385;;;;;;;
Chad;Sudan;32.220;-;41.666;;;;;;;
China;Canada;16.755;-;15.344;;;;;;;
China;India;100.003;-;100.003;;;;;;;
China;United States;60.615;-;65.558;;;;;;;
Colombia;Canada;17.563;-;17.381;;;;;;;
Colombia;Costa Rica;16.561;*;16.586;;;;;;;
Colombia;Ecuador;122.964;*;122.276;;;;;;;
Colombia;Panama;15.723;-;15.957;;;;;;;
Colombia;United States;17.766;-;13.913;;;;;;;
Colombia;Venezuela (Bolivarian Republic of);203.563;-;204.259;;;;;;;
C“te d'Ivoire;Ghana;8.699;71;9.567;;;;;;;
C“te d'Ivoire;Guinea;6.552;389;6.493;;;;;;;
C“te d'Ivoire;Liberia;65.560;18.719;52.786;;;;;;;
Croatia2;Bosnia and Herzegovina;6.733;84;6.709;;;;;;;
Croatia2;Serbia (and Kosovo: S/RES/1244 (1999));49.931;409;41.762;;;;;;;
Dem. Rep. of the Congo;Angola;20.740;*;21.104;;;;;;;
Dem. Rep. of the Congo;Burundi;41.349;285;45.124;;;;;;;
Dem. Rep. of the Congo;Central African Rep.;10.662;305;10.992;;;;;;;
Dem. Rep. of the Congo;Congo;89.424;62.865;31.936;;;;;;;
Dem. Rep. of the Congo;France;12.585;-;13.513;;;;;;;
Dem. Rep. of the Congo;Kenya;6.244;-;8.076;;;;;;;
Dem. Rep. of the Congo;Rwanda;57.857;-;72.988;;;;;;;
Dem. Rep. of the Congo;South Africa;13.386;12;14.374;;;;;;;
Dem. Rep. of the Congo;South Sudan;18.296;-;13.933;;;;;;;
Dem. Rep. of the Congo;Uganda;127.021;321;155.742;;;;;;;
Dem. Rep. of the Congo;United Rep. of Tanzania;63.330;*;64.569;;;;;;;
Dem. Rep. of the Congo;Zambia;14.871;131;16.684;;;;;;;
Egypt;United States;6.297;-;8.497;;;;;;;
El Salvador;United States;6.037;-;7.208;;;;;;;
Eritrea;Ethiopia;63.771;-;84.377;;;;;;;
Eritrea;Israel3;37.347;-;34.988;;;;;;;
Eritrea;Italy;11.345;-;12.682;;;;;;;
Eritrea;Norway;7.129;-;9.344;;;;;;;
Eritrea;Sudan;112.283;-;109.640;;;;;;;
Eritrea;Sweden;6.414;-;8.954;;;;;;;
Eritrea;Switzerland;10.981;-;13.106;;;;;;;
Eritrea;United Kingdom;9.903;-;10.010;;;;;;;
Ethiopia;Kenya;22.221;-;23.524;;;;;;;
Ethiopia;South Africa;5.538;-;7.578;;;;;;;
Ethiopia;South Sudan;5.891;5;5.890;;;;;;;
Ethiopia;Sudan;4.761;-;5.108;;;;;;;
Ethiopia;United States;10.508;-;10.472;;;;;;;
Ethiopia;Yemen;5.221;12;5.740;;;;;;;
Ghana;Togo;17.371;-;17.746;;;;;;;
Guatemala;United States;5.174;-;5.292;;;;;;;
Haiti;Canada;6.798;-;7.872;;;;;;;
Haiti;United States;26.849;-;25.891;;;;;;;
Indonesia;Papua New Guinea;9.368;-;9.368;;;;;;;
Iraq;Egypt;5.703;750;5.506;;;;;;;
Iraq;Germany1;49.829;685;40.230;;;;;;;
Iraq;Islamic Rep. of Iran;44.085;4.035;43.268;;;;;;;
Iraq;Jordan4;63.037;1.710;55.509;;;;;;;
Iraq;Netherlands;18.012;475;15.533;;;;;;;
Iraq;Norway;5.727;160;5.679;;;;;;;
Iraq;Sweden;24.741;1.640;24.006;;;;;;;
Iraq;Syrian Arab Rep.4;471.418;45.840;146.200;;;;;;;
Iraq;Turkey;9.478;125;13.467;;;;;;;
Islamic Rep. of Iran;Germany1;21.629;-;17.150;;;;;;;
Islamic Rep. of Iran;Iraq;8.259;-;7.992;;;;;;;
Islamic Rep. of Iran;United Kingdom;11.433;-;11.368;;;;;;;
Lao People's Dem. Rep.;France;7.335;-;7.261;;;;;;;
Liberia;Ghana;5.156;17;5.249;;;;;;;
Mali;Burkina Faso;38.776;3.758;28.684;;;;;;;
Mali;Mauritania;54.030;3.897;66.393;;;;;;;
Mali;Niger;50.204;5.694;48.928;;;;;;;
Mauritania;France;4.899;-;5.101;;;;;;;
Mauritania;Mali;12.436;-;12.897;;;;;;;
Mauritania;Senegal;13.702;-;13.703;;;;;;;
Mexico;Canada;5.995;-;6.512;;;;;;;
Myanmar;Bangladesh5;230.674;5;231.125;;;;;;;
Myanmar;India;7.671;-;11.122;;;;;;;
Myanmar;Malaysia;84.671;-;92.287;;;;;;;
Myanmar;Thailand6;83.317;3.000;135.476;;;;;;;
Nepal;United States;5.121;-;5.771;;;;;;;
Nigeria;Cameroon;3.223;*;7.459;;;;;;;
Nigeria;Niger;-;-;8.385;;;;;;;
Pakistan;Afghanistan;16.147;-;16.825;;;;;;;
Pakistan;Canada;11.605;-;10.641;;;;;;;
Pakistan;United Kingdom;4.751;-;5.297;;;;;;;
Palestinian7;Egypt;70.028;-;70.026;;;;;;;
Palestinian7;Iraq;11.467;-;9.992;;;;;;;
Russian Fed.;Austria;19.517;-;19.577;;;;;;;
Russian Fed.;France;11.767;-;12.795;;;;;;;
Russian Fed.;Poland;14.938;-;15.149;;;;;;;
Russian Fed.;United States;6.714;-;6.461;;;;;;;
Rwanda;Congo;8.404;64;8.496;;;;;;;
Rwanda;Dem. Rep. of the Congo;50.736;7.199;43.674;;;;;;;
Rwanda;Uganda;14.684;414;13.376;;;;;;;
Senegal;Gambia;9.042;-;9.025;;;;;;;
Senegal;Guinea-Bissau;7.700;-;8.445;;;;;;;
Serbia (and Kosovo: S/RES/1244 (1999));France;11.506;-;11.738;;;;;;;
Serbia (and Kosovo: S/RES/1244 (1999));Germany1;113.809;-;8.410;;;;;;;
Serbia (and Kosovo: S/RES/1244 (1999));Montenegro;8.504;84;6.967;;;;;;;
Somalia;Djibouti;18.289;46;19.169;;;;;;;
Somalia;Egypt;6.250;-;6.316;;;;;;;
Somalia;Ethiopia;223.031;4.481;240.825;;;;;;;
Somalia;Italy;9.284;-;10.817;;;;;;;
Somalia;Kenya;512.069;28.828;475.304;;;;;;;
Somalia;Malta;5.041;-;5.543;;;;;;;
Somalia;Netherlands;16.286;-;18.799;;;;;;;
Somalia;Norway;8.870;-;9.275;;;;;;;
Somalia;South Africa;17.864;-;20.814;;;;;;;
Somalia;Sweden;19.416;-;20.613;;;;;;;
Somalia;Uganda;19.000;-;13.144;;;;;;;
Somalia;United Kingdom;15.134;-;11.249;;;;;;;
Somalia;Yemen;226.909;2.615;230.506;;;;;;;
South Sudan;Ethiopia;58.715;*;71.506;;;;;;;
South Sudan;Kenya;16.774;-;19.930;;;;;;;
South Sudan;Uganda;11.135;275;22.510;;;;;;;
Sri Lanka;Canada;13.705;-;12.326;;;;;;;
Sri Lanka;France;23.225;-;23.762;;;;;;;
Sri Lanka;India;67.165;908;65.674;;;;;;;
Stateless;Sweden;4.948;-;8.570;;;;;;;
Sudan;Chad;306.960;16.935;352.948;;;;;;;
Sudan;Egypt;12.124;14;12.927;;;;;;;
Sudan;Ethiopia;27.175;-;33.582;;;;;;;
Sudan;Israel3;10.743;-;12.926;;;;;;;
Sudan;South Sudan;176.834;-;208.130;;;;;;;
Syrian Arab Rep.;Armenia;5.636;-;11.090;;;;;;;
