Afghanistan;16.187;;;
Albania;86;;;
Algeria10;94.133;;;
Angola;23.413;;;
Argentina;3.488;;;
Armenia;2.854;;;
Aruba;-;;;
Antigua and Barbuda;-;;;
Australia11;30.083;;;
Austria;51.730;;;
Azerbaijan;1.468;;;
Bahamas;37;;;
Bahrain;289;;;
Bangladesh;230.697;;;
Barbados;-;;;
Belarus;576;;;
Belgium;22.024;;;
Belize;28;;;
Benin;4.966;;;
Bolivia (Plurinational State of);733;;;
Bonaire;-;;;
Bosnia and Herzegovina;6.903;;;
Botswana;2.785;;;
Brazil;4.715;;;
British Virgin Islands;2;;;
Brunei Darussalam;-;;;
Bulgaria;2.288;;;
Burkina Faso;39.306;;;
Burundi;41.813;;;
Cambodia;77;;;
Cameroon;98.969;;;
Canada;163.756;;;
Cayman Islands;3;;;
Central African Rep.;14.014;;;
Chad;373.695;;;
Chile;1.695;;;
China12;301.037;;;
Colombia;219;;;
Comoros;-;;;
Congo;98.455;;;
Costa Rica;20.449;;;
Côte d'Ivoire;3.980;;;
Croatia;724;;;
Cuba;371;;;
Curacao;14;;;
Cyprus13;3.631;;;
Czech Rep.;2.805;;;
Dem. Rep. of the Congo;65.109;;;
Denmark;11.402;;;
Djibouti;19.139;;;
Dominica;-;;;
Dominican Rep.;758;;;
Ecuador;123.824;;;
Egypt;109.933;;;
El Salvador;45;;;
Equatorial Guinea;-;;;
Eritrea;3.600;;;
Estonia;63;;;
Ethiopia;376.393;;;
Fiji;6;;;
Finland;9.919;;;
France;217.865;;;
Gabon;1.663;;;
Gambia;9.853;;;
Georgia;469;;;
Germany;589.737;;;
Ghana;16.016;;;
Greece;2.100;;;
Grenada;-;;;
Guatemala;159;;;
Guinea;10.371;;;
Guinea-Bissau;7.784;;;
Guyana;7;;;
Haiti;-;;;
Honduras;16;;;
Hungary;4.054;;;
Iceland;68;;;
India;185.656;;;
Indonesia;1.819;;;
Iran, Islamic Rep. of;868.242;;;
Iraq;98.822;;;
Ireland;6.327;;;
Israel;48.505;;;
Italy;64.779;;;
Jamaica;20;;;
Japan14;2.581;;;
Jordan15;302.707;;;
Kazakhstan;564;;;
Kenya;564.933;;;
Kuwait;674;;;
Kyrgyzstan16;4.941;;;
Lao People's Dem. Rep.;-;;;
Latvia;125;;;
Lebanon;133.940;;;
Lesotho;34;;;
Liberia;65.909;;;
Libya;7.065;;;
Liechtenstein;102;;;
Lithuania;871;;;
Luxembourg;2.910;;;
Madagascar;9;;;
Malawi;6.544;;;
Malaysia;90.185;;;
Mali;13.928;;;
Malta;8.248;;;
Mauritania;80.496;;;
Mauritius;-;;;
Mexico;1.520;;;
Micronesia (Federated States of);-;;;
Monaco;37;;;
Mongolia;4;;;
Montenegro;11.198;;;
Montserrat;-;;;
Morocco;744;;;
Mozambique;4.398;;;
Myanmar;-;;;
Namibia;1.806;;;
Nauru;-;;;
Nepal17;56.264;;;
Netherlands18;74.598;;;
New Zealand;1.517;;;
Nicaragua;129;;;
Niger;50.510;;;
Nigeria;3.154;;;
Norway;42.822;;;
Oman;138;;;
Pakistan;1.638.456;;;
Palau;1;;;
Panama;17.429;;;
Papua New Guinea;9.383;;;
Paraguay;133;;;
Peru;1.122;;;
Philippines;141;;;
Poland;15.911;;;
Portugal;483;;;
Qatar;80;;;
Rep. of Korea;487;;;
Rep. of Moldova;185;;;
Romania;1.262;;;
Russian Federation19;3.178;;;
Rwanda;58.212;;;
Saint Kitts and Nevis;-;;;
Saint Lucia;2;;;
Saint Maarten;3;;;
Saint Vincent and the Grenadines;-;;;
Sao Tome and Principe;-;;;
Saudi Arabia;577;;;
Senegal;14.237;;;
Serbia;66.370;;;
Sierra Leone;4.204;;;
Singapore;3;;;
Slovakia;662;;;
Slovenia;176;;;
Solomon Islands;-;;;
Somalia;2.309;;;
South Africa;65.233;;;
South Sudan20;202.581;;;
Spain;4.510;;;
Sri Lanka;110;;;
State of Palestine;-;;;
Sudan21;152.194;;;
Suriname;-;;;
Swaziland;505;;;
Sweden;92.872;;;
Switzerland;50.747;;;
Syrian Arab Rep.22;476.506;;;
Tajikistan;2.248;;;
The former Yugoslav Republic of Macedonia;1.077;;;
Thailand;84.479;;;
Timor-Leste;-;;;
Togo;23.540;;;
Tonga;3;;;
Trinidad and Tobago;18;;;
Tunisia;1.435;;;
Turcs and Caicos Islands;-;;;
Turkey;267.063;;;
Turkmenistan;46;;;
Uganda;197.877;;;
Ukraine;2.807;;;
United Arab Emirates;631;;;
United Kingdom;149.765;;;
United Rep. of Tanzania;101.021;;;
United States23;262.030;;;
Uruguay;181;;;
Uzbekistan;176;;;
Vanuatu;2;;;
Venezuela (Bolivarian Rep. of);203.644;;;
Viet Nam;-;;;
Yemen;237.182;;;
Zambia;25.653;;;
Zimbabwe;4.356;;;
