Origin;  Country of asylum  ;  Start  ;  Repartation  ;  End  ;;;;;;;;;;;;;;;;;
Afghanistan;Australia;8.368;-;7.675;;;;;;;;;;;;;;;;;
Afghanistan;Austria;11.906;-;11.906;;;;;;;;;;;;;;;;;
Afghanistan;Belgium9;4.328;-;5.038;;;;;;;;;;;;;;;;;
Afghanistan;Canada;2.700;-;2.704;;;;;;;;;;;;;;;;;
Afghanistan;Denmark;2.139;-;2.130;;;;;;;;;;;;;;;;;
Afghanistan;Finland;1.357;-;1.443;;;;;;;;;;;;;;;;;
Afghanistan;France;3.213;-;3.838;;;;;;;;;;;;;;;;;
Afghanistan;Germany;24.203;-;27.814;;;;;;;;;;;;;;;;;
Afghanistan;Greece;632;-;1.451;;;;;;;;;;;;;;;;;
Afghanistan;India;10.328;208;10.395;;;;;;;;;;;;;;;;;
Afghanistan;Indonesia;1.128;*;1.681;;;;;;;;;;;;;;;;;
Afghanistan1;Islamic Rep. of Iran;814.015;4.512;950.000;;;;;;;;;;;;;;;;;
Afghanistan;Italy;6.657;-;8.991;;;;;;;;;;;;;;;;;
Afghanistan;Netherlands;6.269;-;6.244;;;;;;;;;;;;;;;;;
Afghanistan;Norway;5.523;-;5.454;;;;;;;;;;;;;;;;;
Afghanistan;Pakistan;1.615.876;12.991;1.504.912;;;;;;;;;;;;;;;;;
Afghanistan;Russian Federation;1.117;39;1.104;;;;;;;;;;;;;;;;;
Afghanistan;Sweden;10.499;-;12.090;;;;;;;;;;;;;;;;;
Afghanistan;Switzerland;2.578;-;4.119;;;;;;;;;;;;;;;;;
Afghanistan;Syrian Arab Rep.;1.141;-;1.214;;;;;;;;;;;;;;;;;
Afghanistan;Tajikistan;2.004;53;1.975;;;;;;;;;;;;;;;;;
Afghanistan;Turkey;3.926;-;4.188;;;;;;;;;;;;;;;;;
Afghanistan;Ukraine;1.494;*;1.544;;;;;;;;;;;;;;;;;
Afghanistan;United Kingdom;9.166;-;9.039;;;;;;;;;;;;;;;;;
Afghanistan;United States;1.071;-;1.210;;;;;;;;;;;;;;;;;
Albania;Canada;1.706;-;1.530;;;;;;;;;;;;;;;;;
Albania;France;1.925;-;2.522;;;;;;;;;;;;;;;;;
Albania;United Kingdom;1.171;-;1.346;;;;;;;;;;;;;;;;;
Albania;United States;3.541;-;2.751;;;;;;;;;;;;;;;;;
Algeria;France;1.333;-;1.353;;;;;;;;;;;;;;;;;
Angola;Brazil;1.062;-;1.070;;;;;;;;;;;;;;;;;
Angola;France;3.349;-;3.338;;;;;;;;;;;;;;;;;
Armenia;France;3.919;-;4.063;;;;;;;;;;;;;;;;;
Armenia;Germany;1.022;-;1.127;;;;;;;;;;;;;;;;;
Armenia;United States;3.273;-;2.816;;;;;;;;;;;;;;;;;
Azerbaijan;Armenia;1.607;-;1.554;;;;;;;;;;;;;;;;;
Azerbaijan;France;2.709;-;2.771;;;;;;;;;;;;;;;;;
Azerbaijan;Germany;2.082;-;2.167;;;;;;;;;;;;;;;;;
Azerbaijan;Netherlands;1.260;-;1.136;;;;;;;;;;;;;;;;;
Bangladesh;Canada;1.764;-;1.483;;;;;;;;;;;;;;;;;
Bangladesh;France;3.336;-;3.717;;;;;;;;;;;;;;;;;
Bangladesh;Italy;1.050;-;1.357;;;;;;;;;;;;;;;;;
Bangladesh;United States;1.069;-;1.096;;;;;;;;;;;;;;;;;
Belarus;United States;2.039;-;1.923;;;;;;;;;;;;;;;;;
Bhutan;Nepal;30.977;-;23.059;;;;;;;;;;;;;;;;;
Bosnia and Herzegovina;France;4.174;*;4.078;;;;;;;;;;;;;;;;;
Bosnia and Herzegovina;Germany;1.344;35;1.381;;;;;;;;;;;;;;;;;
Bosnia and Herzegovina;Serbia and Kosovo;15.296;-;11.325;;;;;;;;;;;;;;;;;
Bosnia and Herzegovina;Switzerland;2.603;12;2.460;;;;;;;;;;;;;;;;;
Burundi;Canada;2.278;-;2.114;;;;;;;;;;;;;;;;;
Burundi;Dem. Rep. of the Congo;9.762;901;9.259;;;;;;;;;;;;;;;;;
Burundi;Malawi;1.325;60;1.335;;;;;;;;;;;;;;;;;
Burundi;Netherlands;1.415;-;1.131;;;;;;;;;;;;;;;;;
Burundi;South Africa;2.330;7;3.653;;;;;;;;;;;;;;;;;
Burundi;Uganda;10.587;36;11.903;;;;;;;;;;;;;;;;;
Burundi;United Rep. of Tanzania;35.183;38;34.313;;;;;;;;;;;;;;;;;
Burundi;Zambia;2.435;-;2.501;;;;;;;;;;;;;;;;;
Cambodia;France;12.560;-;12.003;;;;;;;;;;;;;;;;;
Cameroon;United States;5.714;-;5.016;;;;;;;;;;;;;;;;;
Central African Rep.;Cameroon;103.892;-;220.702;;;;;;;;;;;;;;;;;
Central African Rep.;Chad;80.545;-;91.783;;;;;;;;;;;;;;;;;
Central African Rep.;Congo;10.084;-;21.695;;;;;;;;;;;;;;;;;
Central African Rep.;Dem. Rep. of the Congo;53.385;-;68.165;;;;;;;;;;;;;;;;;
Central African Rep.;France;605;-;1.004;;;;;;;;;;;;;;;;;
Central African Rep.;South Sudan;1.634;-;2.040;;;;;;;;;;;;;;;;;
Central African Rep.;Sudan;2.183;-;4.113;;;;;;;;;;;;;;;;;
Chad;Cameroon;1.721;38;1.738;;;;;;;;;;;;;;;;;
Chad;France;1.172;-;1.197;;;;;;;;;;;;;;;;;
Chad;Sudan;41.666;53;42.334;;;;;;;;;;;;;;;;;
China;Australia;2.820;-;2.883;;;;;;;;;;;;;;;;;
China;Belgium9;958;-;1.051;;;;;;;;;;;;;;;;;
China;Canada;15.344;-;13.231;;;;;;;;;;;;;;;;;
China;France;1.904;-;2.476;;;;;;;;;;;;;;;;;
China;Germany;1.490;-;1.530;;;;;;;;;;;;;;;;;
China;India;100.003;-;109.018;;;;;;;;;;;;;;;;;
China;Netherlands;1.217;-;1.259;;;;;;;;;;;;;;;;;
China;Switzerland;1.684;-;3.344;;;;;;;;;;;;;;;;;
China;United Kingdom;1.966;-;1.844;;;;;;;;;;;;;;;;;
China;United States;65.558;-;71.902;;;;;;;;;;;;;;;;;
Colombia;Brazil;1.147;-;1.200;;;;;;;;;;;;;;;;;
Colombia;Canada;17.381;-;16.428;;;;;;;;;;;;;;;;;
Colombia;Costa Rica;16.586;-;16.623;;;;;;;;;;;;;;;;;
Colombia;Ecuador;122.276;5;121.317;;;;;;;;;;;;;;;;;
Colombia;Panama;15.957;-;15.551;;;;;;;;;;;;;;;;;
Colombia;United States;13.913;-;10.552;;;;;;;;;;;;;;;;;
Colombia;Venezuela (Bolivarian Republic of);204.259;-;173.519;;;;;;;;;;;;;;;;;
Congo;France;3.371;-;3.252;;;;;;;;;;;;;;;;;
Congo;South Africa;2.646;5;6.035;;;;;;;;;;;;;;;;;
Congo;United States;1.491;-;1.351;;;;;;;;;;;;;;;;;
Cte d'Ivoire;France;2.410;-;2.516;;;;;;;;;;;;;;;;;
Cte d'Ivoire;Ghana;9.567;11;9.779;;;;;;;;;;;;;;;;;
Cte d'Ivoire;Guinea;6.493;-;6.580;;;;;;;;;;;;;;;;;
Cte d'Ivoire;Italy;4.159;-;4.603;;;;;;;;;;;;;;;;;
Cte d'Ivoire;Liberia;52.786;12.211;38.109;;;;;;;;;;;;;;;;;
Cte d'Ivoire;Mali;1.110;-;1.088;;;;;;;;;;;;;;;;;
Cte d'Ivoire;Togo;2.433;94;2.558;;;;;;;;;;;;;;;;;
Cte d'Ivoire;United States;1.788;-;1.709;;;;;;;;;;;;;;;;;
Croatia2;Bosnia and Herzegovina;6.709;164;6.703;;;;;;;;;;;;;;;;;
Croatia2;Serbia and Kosovo (S/RES/1244 (1999));41.762;118;32.408;;;;;;;;;;;;;;;;;
Cuba;Canada;1.674;-;1.618;;;;;;;;;;;;;;;;;
Cuba;Panama;1.116;-;1.118;;;;;;;;;;;;;;;;;
Dem. Rep. of the Congo;Angola;21.104;-;12.944;;;;;;;;;;;;;;;;;
Dem. Rep. of the Congo;Belgium9;916;-;1.100;;;;;;;;;;;;;;;;;
Dem. Rep. of the Congo;Burundi;45.124;37;52.631;;;;;;;;;;;;;;;;;
Dem. Rep. of the Congo;Canada;3.874;-;3.544;;;;;;;;;;;;;;;;;
Dem. Rep. of the Congo;Central African Rep.;10.992;6.965;5.342;;;;;;;;;;;;;;;;;
Dem. Rep. of the Congo;Congo;31.936;10.068;23.376;;;;;;;;;;;;;;;;;
Dem. Rep. of the Congo;France;13.513;-;13.727;;;;;;;;;;;;;;;;;
Dem. Rep. of the Congo;Germany;1.672;-;1.646;;;;;;;;;;;;;;;;;
Dem. Rep. of the Congo;Kenya;8.076;5;9.324;;;;;;;;;;;;;;;;;
Dem. Rep. of the Congo;Malawi;2.485;8;2.511;;;;;;;;;;;;;;;;;
Dem. Rep. of the Congo;Mozambique;2.578;-;2.651;;;;;;;;;;;;;;;;;
Dem. Rep. of the Congo;Namibia;1.900;-;1.384;;;;;;;;;;;;;;;;;
Dem. Rep. of the Congo;Rwanda;72.988;-;73.400;;;;;;;;;;;;;;;;;
Dem. Rep. of the Congo;South Africa;14.414;-;30.125;;;;;;;;;;;;;;;;;
Dem. Rep. of the Congo;South Sudan;13.933;2.514;15.485;;;;;;;;;;;;;;;;;
