 Origin ; Country of asylum ; Start ;  Repartation  ; End 
Afghanistan;Australia1;7.675;-;7.675
Afghanistan;Austria1;14.793;-;14.793
Afghanistan;Germany;27.814;-;28.653
Afghanistan;India;10.395;-;10.351
Afghanistan;Iran (Islamic Rep. of);950.000;-;951.142
Afghanistan;Italy1;8.991;-;8.991
Afghanistan;Netherlands1;6.244;-;6.244
Afghanistan;Norway1;5.454;-;5.454
Afghanistan;Pakistan;1.504.912;-;1.540.283
Afghanistan;Sweden1;12.090;-;12.090
Afghanistan;United Kingdom1;9.054;-;9.054
Bhutan;Nepal;23.059;-;20.809
Bosnia and Herzegovina;Serbia and Kosovo (S/RES/1244 (1999));11.325;-;9.288
Burundi;Dem. Rep. of the Congo;9.259;-;20.916
Burundi;Rwanda;388;-;59.050
Burundi;Uganda;11.903;-;17.305
Burundi;United Rep. of Tanzania;34.313;-;103.401
Cambodia;France;12.003;-;11.866
Cameroon;United States of America1;5.016;-;5.016
Central African Rep.;Cameroon;220.702;-;239.971
Central African Rep.;Chad;91.783;-;91.523
Central African Rep.;Congo;21.695;-;28.247
Central African Rep.;Dem. Rep. of the Congo;68.165;-;99.183
Central African Rep.;Sudan;4.113;-;5.392
Chad;Sudan;42.334;-;42.343
China;Canada1;13.231;-;13.231
China;India;109.018;-;109.018
China;United States of America1;71.902;-;71.902
Colombia;Canada1;16.428;-;16.428
Colombia;Ecuador;121.317;-;120.884
Colombia;Panama;15.551;-;15.577
Colombia;United States of America1;10.552;-;10.552
Colombia;Venezuela (Bolivarian Republic of);173.519;-;174.110
Congo;South Africa;6.035;-;6.224
C“te d'Ivoire;Ghana;9.779;-;9.760
C“te d'Ivoire;Guinea;6.580;-;6.567
C“te d'Ivoire;Liberia;38.109;-;38.444
Croatia2;Bosnia and Herzegovina;6.703;-;6.689
Croatia2;Serbia and Kosovo (S/RES/1244 (1999));32.408;-;25.997
Dem. Rep. of the Congo;Angola;12.944;-;12.944
Dem. Rep. of the Congo;Burundi;52.631;-;53.800
Dem. Rep. of the Congo;Central African Rep.;5.342;-;5.470
Dem. Rep. of the Congo;Congo;23.376;-;23.449
Dem. Rep. of the Congo;France;13.727;-;14.065
Dem. Rep. of the Congo;Kenya;9.324;-;10.421
Dem. Rep. of the Congo;Malawi;2.511;-;5.323
Dem. Rep. of the Congo;Rwanda;73.400;-;73.662
Dem. Rep. of the Congo;South Africa;30.125;-;30.705
Dem. Rep. of the Congo;South Sudan;15.485;-;16.467
Dem. Rep. of the Congo;Uganda;178.217;-;187.710
Dem. Rep. of the Congo;United Rep. of Tanzania;53.881;-;55.317
Dem. Rep. of the Congo;Zambia;18.598;-;19.107
Egypt;United States of America1;10.047;-;10.047
El Salvador;United States of America1;8.256;-;8.256
Eritrea;Ethiopia;123.784;-;139.281
Eritrea;Germany;4.716;-;5.842
Eritrea;Israel;32.668;-;31.708
Eritrea;Italy1;13.357;-;13.357
Eritrea;Netherlands1;6.294;-;6.294
Eritrea;Norway1;11.202;-;11.202
Eritrea;Sudan;109.196;-;110.713
Eritrea;Sweden1;14.107;-;14.107
Eritrea;Switzerland;16.091;-;19.084
Eritrea;United Kingdom1;11.579;-;11.579
Ethiopia;Kenya;21.250;-;21.288
Ethiopia;South Africa;18.830;-;19.825
Ethiopia;Sudan;5.495;-;5.645
Ethiopia;United States of America1;10.384;-;10.384
Ethiopia;Yemen;5.934;-;6.002
Ghana;Togo;18.444;-;18.478
Guatemala;United States of America1;6.098;-;6.098
Guinea;France;5.201;-;5.619
Haiti;Canada1;8.422;-;8.422
Haiti;United States of America1;24.170;-;24.170
Indonesia;Papua New Guinea;9.368;-;9.368
Iran (Islamic Rep. of);Germany;18.814;-;19.223
