Afghanistan;300423
Albania;104
Algeria10;94128
Angola;15474
Antigua and Barbuda;0
Argentina;3498
Armenia;17640
Aruba;0
Australia11;35582
Austria12;55598
Azerbaijan;1299
Bahamas;13
Bahrain;311
Bangladesh13;232472
Barbados;1
Belarus;925
Belgium14;29179
Belize;10
Benin;415
Bolivia (Plurinational State of);763
Bonaire, Saint Eustatius and Saba ;0
Bosnia and Herzegovina;6890
Botswana;2645
Brazil;7490
British Virgin Islands;0
Brunei Darussalam;0
Bulgaria;11046
Burkina Faso;31894
Burundi;52936
Cabo Verde;0
Cambodia;63
Cameroon;264126
Canada;149163
Cayman Islands;6
Central African Rep.;7694
Chad;452897
Chile;1773
China15;301052
Colombia;213
Comoros;0
Congo, Republic of;54842
Costa Rica;20744
Côte d'Ivoire;1925
Croatia;726
Cuba;280
Curaçao ;37
Cyprus16;5126
Czech Rep.;3137
Dem. Rep. of the Congo17;119754
Denmark;17785
Djibouti;20530
Dominica;0
Dominican Rep.18;608
Ecuador19;122161
Egypt;236090
El Salvador;35
Equatorial Guinea;0
Eritrea;2898
Estonia20;90
Ethiopia;659524
Fiji;13
Finland;11798
France;252264
Gabon;1013
Gambia;11608
Georgia;857
Germany;216973
Ghana;18450
Greece;10304
Grenada;0
Guatemala;164
Guinea;8766
Guinea-Bissau;8684
Guyana;11
Haiti;3
Honduras;26
Hungary;2867
Iceland;99
India;199937
Indonesia;4270
Iran (Islamic Rep. of);982027
Iraq21;271143
Ireland;5853
Israel;39716
Italy;93715
Jamaica;22
Japan22;2560
Jordan23;654141
Kazakhstan;633
Kenya;551352
Kuwait24;614
Kyrgyzstan;482
Lao People's Dem. Rep.;0
Latvia25;183
Lebanon;1154040
Lesotho;44
Liberia;38595
Libya;27964
Liechtenstein;103
Lithuania;1007
Luxembourg;1108
Madagascar;11
Malawi;5874
Malaysia;99381
Mali;15195
Malta;6095
Mauritania;75635
Mauritius;0
Mexico26;1837
Micronesia (Federated States of);0
Monaco;33
Mongolia;6
Montenegro;6462
Montserrat;0
Morocco;1216
Mozambique;4536
Myanmar27;0
Namibia;1767
Nauru;389
Nepal28;38490
Netherlands29;82494
New Zealand;1349
Nicaragua;280
Niger;77830
Nigeria;1239
Norway;47043
Oman;151
Pakistan;1505525
Palau;1
Panama;17271
Papua New Guinea;9510
Paraguay;153
Peru;1303
Philippines;222
Poland;15741
Portugal;699
Qatar;133
Rep. of Korea;1173
Rep. of Moldova;335
Romania;2182
Russian Federation30;235750
Rwanda;73820
Saint Kitts and Nevis;1
Saint Lucia;3
Saint Vincent and the Grenadines;0
Sao Tome and Principe;0
Saudi Arabia;561
Senegal;14274
Serbia and Kosovo;43751
Sierra Leone;1372
Singapore;3
Sint Maarten (Dutch part);3
Slovakia;799
Slovenia;257
Solomon Islands;3
Somalia;2729
South Africa;112192
South Sudan31;248152
Spain;5798
Sri Lanka32;511
State of Palestine;0
Sudan33;277833
Suriname;0
Swaziland;515
Sweden;142207
Switzerland;62620
Syrian Arab Rep.34;149140
Tajikistan;2026
Thailand35;130238
The former Yugoslav Republic of Macedonia;883
Timor-Leste;0
Togo;21778
Tonga;0
Trinidad and Tobago;83
Tunisia;901
Turkey36;1587374
Turkmenistan;35
Turcs and Caicos Islands;4
Uganda;385513
Ukraine;3219
United Arab Emirates;417
United Kingdom;117161
United Rep. of Tanzania;88492
United States of America37;267222
Uruguay;272
Uzbekistan38;125
Vanuatu;0
Venezuela (Bolivarian Republic of);173600
Viet Nam;0
Yemen;257645
Zambia;25578
Zimbabwe;6079
